RECEIVER,SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
89b6d740-b228-47d7-af3d-19ba4e499957,3672,98:4F:EE:0D:0E:38,2020-06-23 13:05:20.121679,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-47
5e89115a-ea5b-4178-afbf-72413b17feb9,2945,98:4F:EE:0D:04:A4,2020-06-23 13:05:20.124679,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-44
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3750,98:4F:EE:0D:04:8E,2020-06-23 13:05:20.127680,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-53
3bc2afc8-d924-472a-b617-8430d43f8aa3,3514,98:4F:EE:0D:11:53,2020-06-23 13:05:20.129679,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-58
fdf89eab-93b1-4655-882c-540ec651a1c8,2846,98:4F:EE:0D:04:8E,2020-06-23 13:05:20.238687,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-44
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3656,98:4F:EE:0D:0E:38,2020-06-23 13:05:20.241685,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-48
d8020ffa-6fb9-4478-97ed-61537a947f58,5870,98:4F:EE:0D:11:4C,2020-06-23 13:05:20.244685,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-44
89b6d740-b228-47d7-af3d-19ba4e499957,3673,98:4F:EE:0D:11:4C,2020-06-23 13:05:20.246686,5e89115a-ea5b-4178-afbf-72413b17feb9,256,256,1,-46
5e89115a-ea5b-4178-afbf-72413b17feb9,2946,98:4F:EE:0D:04:8E,2020-06-23 13:05:20.249685,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-44
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3751,98:4F:EE:0D:0E:38,2020-06-23 13:05:20.252686,3bc2afc8-d924-472a-b617-8430d43f8aa3,256,256,1,-58
